,完成的,,,新增的、未做的,,待定的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMD,CMD指令含义,SMD,CMD-SMD,说明,Manager,API对应的Key值,Property ID,HAL对应的Key值,can信号（通用V5）/说明1,can信号（ICAR）/说明2,"初始值
（只针对8675及以后的平台，8666平台不做任何变更）",data 长度,参数类型,车型项目-8666,车型项目-8675,车型项目-8155,车型项目-8676,车型项目-8678,功能模块,AreadID适配,取值是否需要MCU适配,是否需要恢复默认,发起方,接收方,重发,SMD指令含义,HAL备注说明,数据内容,,,,,,,,,,,,,
,,0x03,0003,上报 MCU 版本号,CarMcuManager,ID_VENDOR_MCU_VERSION,0x211015EF(554702319),VENDOR_MCU_VERSION,,,,"16（其他平台）
n(针对8676平台)",string: CV:A.0.0（8位）,Master\C281（H15T）燃油基础款\C281-RDE\C281-RED-PHEV\C281ICA1ICE\C281PHEV\S401-MCA2\S311 MCA\S311ICA5\C301-MCA\C589\C589-1\S311MCA-IGUF\C589_IGUF\C589-RU\S311ICA5-G\C301-G\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,C857/C857海外,Master\J90K,,,否,否,,MCU,,√,MCU_GET_MCU_VER,,,,,,,,,,,,,,,
,,0x04,0004,上报硬件版本信息,CarVendorExtensionManager,ID_VENDOR_HW_VERSION_ACK,0x2110F031(554758193),VENDOR_HW_VERSION_ACK,,,,8,string:HV:A.0.0（8位）,Master\C281（H15T）燃油基础款\C281-RDE\C281-RED-PHEV\C281ICA1ICE\C281PHEV\S401-MCA2\S311 MCA\S311ICA5\C301-MCA\C589\C589-1\S311MCA-IGUF\C589_IGUF\C589-RU\S311ICA5-G\C301-G\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,C857/C857海外,Master\J90K,,,否,否,,MCU,,√,MCU_GET_HARWARE_VER,,,,,,,,,,,,,,,
,,0x05,0005,上报系统状态信息,,,,,,,,,,C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,,,,,否,,,MCU,,√,MCU_SYS_STATE_SYNC_INFO,,,,,,,,,,,,,,,
,,0x06,0006,上报TBOX软件件号信息,CarVendorExtensionManager,ID_VENDOR_SW_PART_NUMBER,0x2110F058(554758232),VENDOR_SW_PART_NUMBER,,,,20,string,Master\C281（H15T）燃油基础款\C281-RDE\C281-RED-PHEV\C281ICA1ICE\C281PHEV\S401-MCA2\S311 MCA\S311ICA5\C301-MCA\C589\C589-1\S311MCA-IGUF\C589_IGUF\C589-RU\S311ICA5-G\C301-G\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,C857/C857海外,Master\J90K,,,否,否,,MCU,,,MCU_VENDOR_SW_PART_NUMBER_SET_STATUS,,,,,,,,,,,,,,,
,,0x07,0007,上报零件号,CarVendorExtensionManager,ID_VENDOR_PART_NUMBER,0x2110F057(554758231),VENDOR_PART_NUMBER,,,,21,string,Master\C281（H15T）燃油基础款\C281-RDE\C281-RED-PHEV\C281ICA1ICE\C281PHEV\S401-MCA2\S311 MCA\S311ICA5\C301-MCA\C589\C589-1\S311MCA-IGUF\C589_IGUF\C589-RU\S311ICA5-G\C301-G\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,C857/C857海外,Master\J90K,,,否,否,,MCU,,,MCU_VENDOR_PART_NUMBER_SET_STATUS,,,,,,,,,,,,,,,
,,0x08,0008,上报电检MCU版本号,CarVendorExtensionManager,ID_VENDOR_ECU_MCU_VERSION,0x2110F056(554758230),VENDOR_ECU_MCU_VERSION,,,,8,string,Master\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,C857/C857海外,Master\J90K,,,否,否,,MCU,,,MCU_VENDOR_ECU_MCU_VERSION_SET_STATUS,,,,,,,,,,,,,,,
,,0x09,0009,DSP文件件号,CarVendorExtensionManager,ID_VENDOR_DSP_FILE_NUMBER,0x2110365D(554710621),VENDOR_DSP_FILE_NUMBER,,,,20,string,,Master\281MCA2\C928\C928G\C318,,,,,否,否,,MCU,,,,,,,,,,,,,,,,,,
0x01,心跳信息,0x00,0100,心跳监控信息,,,,,,,,,,C281（H15T）燃油基础款\C281-RDE\C281-RED-PHEV\C281ICA1ICE\C281PHEV\S401-MCA2\S311 MCA\S311ICA5\C301-MCA\C589\C589-1\S311MCA-IGUF\C589_IGUF\C589-RU\S311ICA5-G\C301-G\C281ICA1PHEV\S203ICA1PHEV\C589PHEV\C589-2\C589ICA1\S203-2\C281-3\C589-G2\S203-G\G393\C589EV\CD569-PHEV\CD569PHEV-ICA\CD569-DA\CD569-1\CD569-2\S202-ICA\S203\S203SVP\S203-1\S203ICA1-ICE\S311PHEV,Master\281MCA2\C928\C928G\C318,,,,,否,,,MCU,,√,MCU_HEARTBEAT_MON_INFO,,,,,,,,,,,,,,,
